DB00492	DB00876	0.5
DB00492	DB01136	0.5
DB00492	DB00519	1.0
DB00492	DB00214	0.5
DB00492	DB01129	0.25
DB00492	DB00584	1.0
DB00492	DB01348	0.5
DB00492	DB01340	0.5
DB00492	DB00736	0.25
DB00492	DB00492	0.5
DB00492	DB00691	0.5
DB00492	DB00542	0.5
DB00492	DB00584	0.5
DB00492	DB00796	0.5
DB00492	DB00790	0.5
DB00492	DB00612	0.333
DB00492	DB00531	0.042
DB00492	DB01029	0.5
DB00492	DB01359	0.5
DB00492	DB01193	0.5
DB00428	DB01268	0.182
DB00428	DB00853	0.25
DB00428	DB00398	0.2
DB00428	DB00441	0.1
DB00428	DB00544	0.111
DB00428	DB01268	0.083
DB00428	DB00398	0.2
DB00428	DB00441	0.091
DB00583	DB00140	0.333
DB00583	DB00140	0.2
DB00583	DB00583	0.286
DB00583	DB00140	0.25
DB00583	DB00583	0.333
DB00583	DB00181	0.333
DB00443	DB00764	0.667
DB00443	DB01075	0.25
DB00443	DB00620	0.4
DB00443	DB00860	0.429
DB00443	DB00620	0.5
DB00443	DB00620	0.5
DB00443	DB00935	0.333
DB00443	DB00959	0.125
DB00443	DB01234	0.091
DB00443	DB00443	1.0
DB00443	DB00741	0.333
DB00443	DB00959	0.111
DB00443	DB01114	0.333
DB00443	DB00860	0.429
DB00443	DB00596	0.25
DB00443	DB00455	0.333
DB00443	DB00764	0.667
DB00443	DB00764	0.5
DB00443	DB00471	0.25
DB00443	DB01234	0.111
DB00443	DB00860	0.429
DB00443	DB00443	1.0
DB00443	DB00523	0.333
DB00443	DB00993	0.25
DB00443	DB00852	0.333
DB00443	DB01075	0.25
DB00443	DB00332	0.25
DB00443	DB01075	0.25
DB00443	DB00557	0.333
DB00443	DB00993	0.182
DB00443	DB01234	0.111
DB00443	DB00563	0.05
DB00443	DB00388	0.333
DB00443	DB00180	0.333
DB00443	DB00972	0.333
DB00443	DB00091	0.118
DB00443	DB00394	0.25
DB00443	DB00860	0.429
DB00443	DB00852	0.333
DB00443	DB00852	0.333
DB00443	DB01047	0.25
DB00443	DB00180	0.25
DB00443	DB00443	0.75
DB00443	DB01234	0.111
DB00443	DB00557	0.333
DB00443	DB00620	0.5
DB00443	DB00291	0.25
DB00443	DB00768	0.333
DB00443	DB00341	0.333
DB00443	DB00860	0.429
DB00443	DB01075	0.25
DB00443	DB00341	0.333
DB00443	DB00852	0.333
DB00443	DB01075	0.25
DB00443	DB00860	0.429
DB00443	DB01234	0.111
DB00443	DB00635	0.065
DB00443	DB00860	0.25
DB00443	DB01013	0.125
DB00443	DB00950	0.333
DB00443	DB00557	0.333
DB00443	DB01075	0.25
DB00443	DB01234	0.091
DB00443	DB01234	0.1
DB00443	DB00443	0.375
DB00443	DB01222	0.143
DB00443	DB00950	0.333
DB00443	DB00972	0.333
DB00443	DB00588	0.5
DB00443	DB00620	0.5
DB00443	DB00443	1.0
DB00443	DB01013	0.25
DB00443	DB00688	0.143
DB00443	DB00959	0.125
DB00443	DB00959	0.125
DB00443	DB00959	0.125
DB00443	DB00959	0.125
DB00443	DB00860	0.429
DB00443	DB00471	0.333
DB00443	DB01003	0.25
DB00443	DB01234	0.111
DB00443	DB01234	0.111
DB00443	DB00563	0.077
DB00443	DB00768	0.333
DB00764	DB01075	0.333
DB00764	DB00620	0.5
DB00764	DB00860	0.286
DB00764	DB00620	0.667
DB00764	DB00620	0.667
DB00764	DB00935	0.5
DB00764	DB01234	0.1
DB00764	DB00443	0.667
DB00764	DB00741	0.4
DB00764	DB01114	0.5
DB00764	DB00860	0.286
DB00764	DB00596	0.333
DB00764	DB00455	0.5
DB00764	DB00764	1.0
DB00764	DB00764	0.667
DB00764	DB00471	0.333
DB00764	DB01234	0.125
DB00764	DB00860	0.286
DB00764	DB00443	0.667
DB00764	DB00523	0.5
DB00764	DB00993	0.125
DB00764	DB00852	0.5
DB00764	DB01075	0.333
DB00764	DB00332	0.333
DB00764	DB01075	0.333
DB00764	DB00557	0.5
DB00764	DB00993	0.091
DB00764	DB01234	0.125
DB00764	DB00563	0.053
DB00764	DB00388	0.5
DB00764	DB00180	0.5
DB00764	DB00972	0.5
DB00764	DB00091	0.059
DB00764	DB00394	0.333
DB00764	DB00860	0.286
DB00764	DB00852	0.5
DB00764	DB00852	0.5
DB00764	DB01047	0.333
DB00764	DB00180	0.333
DB00764	DB00443	0.5
DB00764	DB01234	0.125
DB00764	DB00557	0.5
DB00764	DB00620	0.667
DB00764	DB00768	0.5
DB00764	DB00341	0.5
DB00764	DB00860	0.286
DB00764	DB01075	0.333
DB00764	DB00341	0.5
DB00764	DB00852	0.5
DB00764	DB01075	0.333
DB00764	DB00860	0.286
DB00764	DB01234	0.125
DB00764	DB00635	0.032
DB00764	DB00860	0.167
DB00764	DB01013	0.143
